appellationlibelle,codeNAF,competences,contact,dateActualisation,dateCreation,deplacementCode,deplacementLibelle,description,dureeTravailLibelle,dureeTravailLibelleConverti,entreprise,experienceExige,experienceLibelle,formations,id,intitule,lieuTravail,natureContrat,nombrePostes,offresManqueCandidats,origineOffre,qualificationCode,qualificationLibelle,romeCode,romeLibelle,salaire,secteurActivite,secteurActiviteLibelle,typeContrat,typeContratLibelle
Assistant / Assistante de service social,86.10Z,"Analyser la situation et les besoins de la personne, Orienter une personne vers des partenaires relais","{'nom': 'GROUPE HOSPITALIER UNIVERSITAIRE PARIS - - Mme Anita DIJOUX', 'coordonnees1': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163BQGZ', 'courriel': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163BQGZ'}",2023-10-11T09:13:09.000Z,2023-10-11T09:13:07.000Z,,,"Lieux de travail : CATTP La Comète, 14 rue de Thionville 75019 Paris

Le pôle G25 accueille des personnes en souffrance psychique âgées de 18 ans ou plus.  Il prend en charge chaque année 2046 patients. 

Selon le niveau de soins requis, le pôle propose différents types de prise en charge : en urgence, en ambulatoire ou en hospitalisation. Une équipe pluridisciplinaire (médecins psychiatres, psychologues, infirmier.es, aide-soignant.e.s, agents de services hospitaliers, assistants sociaux, éducateurs, ergothérapeutes, animateurs, cadres de santé, secrétaires) est à votre écoute.  

Différents lieux de soins existent :  

Les Services d'accueil et d'urgence (S.A.U) : implantés dans les hôpitaux généraux, ces services accueillent, soignent et orientent vers une structure de soins adaptée des personnes en situation de crise ; 
Les Centres Médico-Psychologiques (CMP) reçoivent les patients pour des consultations en ville ; 
Les Centres d'Accueil Thérapeutique à Temps Partiel (CATTP) organisent des activités groupales thérapeutiques ; 
Les Hôpitaux de Jour (HDJ) ou centre de jour pour une hospitalisation à temps partiel ; 
Les unités d'hospitalisation à temps complet. 
Un dispositif d'hospitalisation séquentielle au sein de familles d'accueil, de foyers de transition intra et extra hospitalier ainsi que d'appartements thérapeutiques permet de s'adapter aux besoins de chaque personne. 
Les visites à domicile ou équipe mobile.
 
L'assistant de service social fait partie de l'équipe pluridisciplinaire et assure un accompagnement social global.
En lien avec l'équipe, il contribue à l'élaboration du projet thérapeutique en prenant en compte les conséquences de la pathologie et/ou du handicap psychique sur l'environnement social, familial et professionnel.
Il assure également la promotion d'un accès aux droits et aux ressources permettant la mise en œuvre d'un parcours de soins adapté. Il veille à la protection des adultes vulnérables et à la protection de l'enfance.
Il aura également la possibilité de développer l'intervention sociale d'intérêt collectif et d'encadrer des stagiaires assistant de service social.
 


 

Avantages :
- Des services répartis sur l'ensemble du territoire Parisien,
- Des horaires adaptés : 7h30/jour, pause déjeuner comprise.
- Possibilités de télétravail un jour par semaine (sous conditions),
- Travail du lundi au vendredi uniquement : 25 CA, 15 RTT, +/-3 jours, soit 43 jours de congés annuels (sous conditions)
- Des avantages « GHU Paris » : accès à des offres familles (cinéma, colonies de vacances, etc.), offres pour l'accès au sport, self (environ 4€/repas) ou tickets restaurants, CESU garde d'enfants, etc.
- Possibilité d'obtenir un mode de garde dans un réseau de crèches.
 
Compétences et qualités requises : 
- Diplôme d'Etat d'Assistant de Service Social exigé (DEASS),
- Rigueur,
- Sens de l'organisation,
- Aisance relationnelle,
- Respect des règles professionnelles,
- Formations complémentaires en psychiatrie adulte/handicap psychique appréciées mais non indispensables.",37H30 Travail en journée,Temps plein,"{'nom': 'GROUPE HOSPITALIER UNIVERSITAIRE PARIS -', 'description': ""Le Groupe Hospitalier Universitaire Paris psychiatrie & neurosciences est né le 1er janvier 2019 des rapprochements des hôpitaux Sainte-Anne, Maison Blanche et Perray-Vaucluse.  Leader dans le soin, l'enseignement et la recherche portant sur les maladies mentales et le système nerveux, le GHU Paris emploie 5600 hospitaliers répartis dans 100 sites parisiens, ainsi que des unités à dimension médico-sociale dans le 91 et le 93."", 'logo': 'https://entreprise.pole-emploi.fr/static/img/logos/dziQ1Dx5njwy2McBXbWpX9Kc3LKL2zda.png', 'url': 'https://www.ghu-paris.fr/fr/toutes-nos-offres-demploi', 'entrepriseAdaptee': False}",D,Débutant accepté,"Bac+3, Bac+4 ou équivalents",163BQGZ,Assistant / Assistante de service social CATTP La Comète (H/F),75 - PARIS 19,Contrat travail,1,False,"{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163BQGZ'}",9,Cadre,K1201,Action sociale,"Mensuel de 2300,00 Euros à 2700,00 Euros sur 12 mois",86,Activités hospitalières,CDD,Contrat à durée déterminée - 3 Mois
Monteur / Monteuse en gaines de ventilation,78.20Z,"Positionner et fixer les groupes, condenseurs, tubes, câbles électriques, Contrôler l'étanchéité, Démarrer et/ou arrêter une machine, une ligne, Réparer un équipement, une machine, une installation, Réaliser un diagnostic technique","{'nom': 'PROMAN 177 - M. PROMAN LORIENT', 'coordonnees1': 'https://www.proman-emploi.fr/?job=MP822198&candidature&origine=POLE-EMPLOI-JTMO&utm_source=pole-emploi-jtmo&utm_medium=referral&utm_campaign=annonces-free&utm_term=offre', 'urlPostulation': 'https://www.proman-emploi.fr/?job=MP822198&candidature&origine=POLE-EMPLOI-JTMO&utm_source=pole-emploi-jtmo&utm_medium=referral&utm_campaign=annonces-free&utm_term=offre'}",2023-10-11T09:51:00.000Z,2023-10-11T09:13:04.000Z,,,"Le poste :
Votre agence PROMAN DE LORIENT recherche pour l'un de ses clients spécialisés dans le secteur de la construction navale, des Monteurs de gaines (H/F) . Vos missions principales : Montage des supports pour réseaux aérauliques Montage des gaines de ventilation. Montage des équipements de ventilation Préfabrication de supports Horaires : Du lundi au jeudi : 7H30 - 12H00 ; 13H00 - 16H30 Vendredi : 7H30 - 12H30 Taux horaire : selon expérience . Longue mission. Ce poste est à pourvoir de suite en intérim sur plusieurs mois sur Lorient (56).


Profil recherché :
Vous êtes issu d'une formation BAP ou Bac Pro en chaudronnerie, tuyauterie ou monteur. Vous possédez une expérience similaire dans le domaine de la navale. Vous avez des connaissances en aéraulique, hydraulique, fluides, tuyauterie, chaudronnerie. Vous êtes autonome, bricoleur (utilisation d'une meuleuse). La capacité de souder avec les électrodes est un plus. 
Tous nos postes sont ouverts aux personnes en situation de handicap.",37H Travail en journée,Temps plein,"{'nom': 'PROMAN 177', 'url': 'https://www.proman-emploi.fr/', 'entrepriseAdaptee': False}",S,2 ans,,163BQGY,Monteur de gaines (H/F),56 - LORIENT,Contrat travail,1,False,"{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163BQGY'}",5,Employé non qualifié,I1306,"Installation et maintenance en froid, conditionnement d'air","Horaire de 12,00 Euros à 14,00 Euros sur 12 mois",78,Activités des agences de travail temporaire,MIS,Mission intérimaire - 6 Mois
Coiffeur / Coiffeuse,96.02A,"Techniques de coupes de cheveux, Accueillir le client et l'installer, Identifier la coiffure attendue (coupe, coloration, traitement, ...) et conseiller le client (morphologie, implantation des cheveux, ...), Réaliser le diagnostic capillaire, les préparations du lavage et le shampoing, Réaliser une coupe ou une coiffure","{'nom': 'Imaginatif Coiffure - Mme AURELIE KERVAREC', 'coordonnees1': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163BQGW', 'courriel': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163BQGW'}",2023-10-11T09:13:02.000Z,2023-10-11T09:13:02.000Z,,,"Rattaché(e) au responsable du salon, vous aurez pour missions principales l'accueil du client, le déroulement de la prestation ainsi que l'encaissement. 
Motivé(e), souriant(e) et dynamique, vous contribuerez, par l'ensemble de ces tâches, à la qualité de prestation de l'entreprise. 

Une expérience sur un poste similaire est souhaitée.  

Les horaires seront à définir avec l'employeur. Vous travaillerez 25h ou 30h semaine, selon les possibilités.

Candidature (CV ) à adresser par mail à imagina.tif@orange.fr OU à déposer sur place au salon.",30H Travail en journée,Temps partiel,"{'nom': 'Imaginatif Coiffure', 'entrepriseAdaptee': False}",D,Débutant accepté - Si diplôme BP coiffure validé.,Bac ou équivalent,163BQGW,Coiffeur / Coiffeuse,29 - PLONEOUR LANVERN,Contrat travail,1,,"{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163BQGW'}",6,Employé qualifié,D1202,Coiffure,Mensuel de 1498 Euros sur 12 mois,96,Coiffure,CDI,Contrat à durée indéterminée
Instituteur / Institutrice,85.31Z,"Définir un objectif d'apprentissage et le programme des activités pédagogiques, Développer une démarche pédagogique pour l'enseignement des savoirs fondamentaux, Organiser l'espace pédagogique, Vérifier la tenue d'une classe, Collecter des informations pour préparer une séquence de formation, une leçon","{'nom': 'Pôle Emploi MANOSQUE', 'coordonnees1': '126 Traverse Françoise Dolto\nCS70004', 'coordonnees2': '04107 MANOSQUE', 'coordonnees3': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163BQGT'}",2023-10-11T09:16:04.000Z,2023-10-11T09:12:56.000Z,,,"Nous recherchons une personne titulaire du bac +2 pour enseignement en classe de moyenne section à temps plein (27H/hebdo, sauf mercredi).
Vous êtes à l'écoute et bienveillant(e), patient(e) et habitué aux enfants.
Poste à pourvoir du 16/10/23 au 07/01/24.",27H Travail en journée,Temps partiel,{'entrepriseAdaptee': False},D,Débutant accepté - si bac + 2,Bac+2 ou équivalents,163BQGT,Instituteur / Institutrice,04 - MANOSQUE,Contrat travail,1,False,"{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163BQGT'}",6,Employé qualifié,K2106,Enseignement des écoles,"Horaire de 11,52 Euros",85,Enseignement secondaire général,CDD,Contrat à durée déterminée - 3 Mois
Responsable de secteur d'aide à domicile,88.10A,"Animer, coordonner une équipe, Piloter une activité, Appétence pour le social et gestion administrative, Expérience dans le médico-social appréciée, Gérer les urgences avec patience et efficacité, Maîtrise de l'outil informatique",{},2023-10-11T09:27:47.000Z,2023-10-11T09:12:35.000Z,,,"Afin de renforcer son équipe, l'AAD recrute un(e) Responsable de secteur pour son antenne de VALS-LES-BAINS.

En tant que Responsable de secteur, vous êtes au cœur de la gestion administrative et technique du secteur de proximité en soutien à la responsable de secteur.

MISSIONS :
-	Evaluer les besoins des publics accompagnés et établir les devis et contrats de prestations
-	Mettre en place les prestations d'aides personnalisées ( Département , caisses de retraites, mutuelles, etc )
-	Conseiller et accompagner les bénéficiaires et leurs familles sur les aides/dispositifs sollicitables
-	Coordonner les interventions à domicile en lien avec les professionnels extérieurs (assistants de services sociaux ,médecin, infirmiers, )
-	Assurer le suivi des prestations
-	Organiser et planifier l'activités des intervenants à domicile, et assurer les recrutements si nécessaire",28H Travail en journée,Temps partiel,"{'nom': ""ASSOCIATION D'AIDE A DOMICILE 07"", 'entrepriseAdaptee': False}",D,Débutant accepté,,163BQGR,Responsable de secteur d'aide à domicile,07 - VALS LES BAINS,Contrat travail,1,False,"{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163BQGR'}",6,Employé qualifié,K1403,"Management de structure de santé, sociale ou pénitentiaire",,88,Aide à domicile,CDD,Contrat à durée déterminée - 3 Mois
Vendeur / Vendeuse en boulangerie-pâtisserie,10.71C,"Préparer, assembler des plats simples, Ranger des produits ou marchandises selon leurs dates de validité et les conditions de conservation, Contrôler l'état de conservation d'un produit périssable, Mettre en place/rafraîchir l'étal (glace, décoration), disposer les produits et afficher les prix, Entretenir un équipement, une machine, une installation, Entretenir, nettoyer un espace, un lieu, un local, Procéder à l'encaissement, Répondre aux attentes d'un client, Présenter et valoriser un produit ou un service, Organiser, aménager un espace de vente, Communiquer à l'oral en milieu professionnel, Réaliser l'emballage de produits frais, Informer, renseigner une personne sur les articles en vente",{},2023-10-11T09:20:33.000Z,2023-10-11T09:12:32.000Z,1,Jamais,"Vous gérer l'encaissement, la préparation de snacking à la demande, le nettoyage et la mise en place. Vous êtes attentif/ive au relationnel client et êtes disponible de suite

Vous travaillez le matin, faîtes l'ouverture de la boutique entre 6h et 7h. Temps partiel possible. 1 jour de repos par semaine + dimanche après-midi.",35H Travail le week-end,Temps plein,"{'nom': 'AU FOURNIL DE ROCHY-CONDE', 'entrepriseAdaptee': False}",D,Débutant accepté,Aucune formation scolaire,163BQGQ,Vendeur / Vendeuse en boulangerie-pâtisserie (H/F),60 - ROCHY CONDE,Contrat travail,1,False,"{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163BQGQ'}",5,Employé non qualifié,D1106,Vente en alimentation,"Horaire de 11,52 Euros à 12 Euros sur 12 mois",10,Boulangerie et boulangerie-pâtisserie,CDI,Contrat à durée indéterminée
Boulanger / Boulangère,10.71C,"Caractéristiques des farines levure, additifs, Réaliser la conservation de la pâte et le conditionnement des produits de boulangerie et de viennoiserie (barquettes, sachets, ...), Conduire une fermentation, Diviser la masse de pâte en pâtons, Doser des ingrédients culinaires, Définir des besoins en approvisionnement, Bouler et effectuer la tourne ou le façonnage des pâtons","{'nom': 'la flûte enchantée - Mme emilie picard', 'coordonnees1': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163BQGP', 'courriel': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163BQGP'}",2023-10-11T09:12:31.000Z,2023-10-11T09:12:31.000Z,,,"Notre boulangerie traditionnelle recherche un Boulanger(ère)

Du pain blanc au pain au levain d'antan, en passant par la tradition.
Laisser libre cours à votre imagination et à votre créativité afin de faire redécouvrir à la clientèle, l'art et le savoir faire d'une production artisanale.
En toute autonomie et originalité, vous aurez sous votre responsabilité la production pour une boutique et pour le camion tournée.
Ces sites en plein remodelage et reconversion n'attendent que vous.

Formation et perfectionnement assuré en interne

Horaire de 3h30 à 10h50
Sur 6 jours",42H Travail de nuit,Temps plein,"{'nom': 'la flûte enchantée', 'description': 'Boulangerie / Pâtisserie / Snacking\nEntreprise artisanale, fabrication 100 % maison \nPain tradition, pains spéciaux originaux\nPâtisserie traditionnel et évènementiel \nSnacking à emporter\nRestauration sur place type brasserie\nSalon de thé et terrasse', 'entrepriseAdaptee': False}",E,1 an,,163BQGP,Boulanger / Boulangère,70 - RIOZ,Contrat travail,1,,"{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163BQGP'}",3,"Ouvrier qualifié (P1,P2)",D1102,Boulangerie - viennoiserie,Annuel de 26000 Euros à 30000 Euros sur 12 mois,10,Boulangerie et boulangerie-pâtisserie,CDI,Contrat à durée indéterminée
Plombier / Plombière,78.20Z,"Réaliser un diagnostic de panne ou de dysfonctionnement d'installation, Poser des tuyauteries, Installer des équipements de chauffage, Poser des éléments sanitaires, Réaliser des travaux de raccordement aux appareils de chauffage et éléments sanitaires","{'nom': 'PROMAN - M. PROMAN BAGNOLS', 'coordonnees1': 'https://www.proman-emploi.fr/?job=MP822196&candidature&origine=POLE-EMPLOI-JTMO&utm_source=pole-emploi-jtmo&utm_medium=referral&utm_campaign=annonces-free&utm_term=offre', 'urlPostulation': 'https://www.proman-emploi.fr/?job=MP822196&candidature&origine=POLE-EMPLOI-JTMO&utm_source=pole-emploi-jtmo&utm_medium=referral&utm_campaign=annonces-free&utm_term=offre'}",2023-10-11T09:12:29.000Z,2023-10-11T09:12:28.000Z,,,"Le poste :
Votre agence PROMAN recherche pour l'un de ses clients un Plombier H/F. 
Vos missions consisteront à : -Préparer et installer les équipements sanitaires et de chauffage. -Réalisation de réseaux PVC évacuation -Réalisation de réseaux multicouches 
-Procéder à des dépannages et réparations. 
-Contrôler selon les normes l'installation effectuée. Ce poste est à pourvoir dès le 23/10/23


Profil recherché :
Vous connaissez et appliquez les règles de sécurité et d'hygiène. Vous avez des connaissances techniques en électricité et en mécanique. Vous connaissez les normes de qualité et savez les contrôler. Vous savez vous organiser et respecter des délais. 
Tous nos postes sont ouverts aux personnes en situation de handicap.",35H Travail en journée,Temps plein,"{'nom': 'PROMAN', 'url': 'https://www.proman-emploi.fr/', 'entrepriseAdaptee': False}",S,4 ans,,163BQGN,Plombier (H/F),30 - ST GILLES,Contrat travail,1,False,"{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163BQGN'}",1,Manœuvre,F1603,Installation d'équipements sanitaires et thermiques,"Horaire de 11,53 Euros à 15,00 Euros sur 12 mois",78,Activités des agences de travail temporaire,MIS,Mission intérimaire - 1 Mois
Secrétaire médical / médicale,86.10Z,"Actualiser le dossier médical du patient, Accueillir, orienter et renseigner un patient","{'nom': 'GROUPE HOSPITALIER UNIVERSITAIRE PARIS - - Mme Anita DIJOUX', 'coordonnees1': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163BQGM', 'courriel': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163BQGM'}",2023-10-11T09:47:33.000Z,2023-10-11T09:12:28.000Z,,,"DESCRIPTION DU POSTE

 Le pôle 75I11 est implanté sur le 19è arrondissement de Paris, arrondissement jeune, à fort taux de natalité, ouvert sur le monde et la diversité culturelle, et présentant des problématiques socio-économiques complexes (précarité, familles nombreuses et/ou monoparentales ).

Le 75I11 s'articule autour de 3 CMP.

A partir de leur mission, d'évaluation, de diagnostic et de traitement, les CMP organisent les soins à partir des ressources du pôle :

En ambulatoire : prises en charge individuelle, en groupe, sur les CATTP (le CATTP JET « Jardin d'Enfants Thérapeutique », l'UPB « CATTP parents-bébés », le CATTP ADOS, ou le CATTP transversal Groupes Thérapeutiques), sur les unités de jour : l'HDJ ""la Pomme"", et l'UES Unité d'Enseignement Spécialisée ;
En hospitalisation complète : en Accueil Familial Thérapeutique.
L'enfant est au centre des actions, préoccupations et réflexions du pôle. Chaque professionnel articule sa pratique avec le projet de soins de l'enfant, dans la pluridisciplinarité, et le respect de l'organisation de service.

La réflexion clinique a mené les professionnels du pôle vers une psychiatrie intégrative dans une vision globale, prenant acte des avancées dans les champs cliniques et théoriques. Cette approche intégrative est mise en œuvre dans une approche institutionnelle du soin.

Le travail clinique est en dialogue avec des espaces de paroles et d'écoute, des recherches (transculturelle, protection de l'enfance), des actions de formations (psychocorporels, la maltraitance, la psychiatrie transculturelle) dont les mini séminaires de l'HDJ ouverts aux professionnels du pôle, les séminaires « parents-bébés » et « Corps, langage, pensée chez l'enfant et l'ado » organisés par le pôle et ouverts aux intervenants dans le champ de l'enfance et de l'adolescence du Nord-Est parisien et des départements limitrophes.

Le projet de pôle est dynamique et s'adapte aux besoins, aux évolutions, dans une réflexion pluridisciplinaire commune, avec actuellement un projet de restructuration de l'AFT et de l'hôpital de jour.

La secrétaire fait partie de l'équipe pluridisciplinaire et en est un pivot.


 

MISSIONS

- Accueil physique et téléphonique des familles et des partenaires du réseau, supervision de la salle d'attente.
- Gestion et suivi des dossiers patients à partir des logiciels dédiés et saisie des actes.
- Rédaction des certificats, courriers médicaux, comptes rendus, en lien avec les consultants.
- Numérisation des éléments du dossier.
- Transmission des informations aux différents professionnels
- Création d'outils (tableaux ...)
- Classement et archivage
- Participation à la saisie de l'activité et du codage diagnostic.
- Saisie et gestion des courriers, retrait des recommandés au bureau de poste.
- Elaboration et suivis des plannings estivaux de présences et de permanence téléphonique en collaboration avec le médecin et le cadre responsables du C.M.P..
- Elaboration d'un plan d'occupation des bureaux en collaboration avec le médecin et le cadre responsables du C.M.P.
- Elaboration des statistiques pour le rapport d'activité, en lien avec le médecin responsable du C.M.P.
- Gestion et planification des rendez-vous.
- Gestion et suivi des ordres de mission.
- Gestion et suivi des demandes d'interprétariat.
- Gestion et suivi des réunions d'équipe par Microsoft Team si besoin.
- Collaboration avec le service des admissions.
- Participation à la démarche qualité.
- Evaluation des stocks, des commandes et des demandes d'intervention de maintenance en collaboration avec le cadre de santé (Lyreco, Logon, Carl source ..),
- Réception et distribution des différentes commandes reçues
- Participation à la réunion d'équipe hebdomadaire du vendredi et formalisation du compte rendu de réunion.
- Mise à jour de la liste d'attente éventuelle, en lien avec le cadre et le médecin responsables du CMP.",37H30 Travail en journée,Temps plein,"{'nom': 'GROUPE HOSPITALIER UNIVERSITAIRE PARIS -', 'description': ""Le Groupe Hospitalier Universitaire Paris psychiatrie & neurosciences est né le 1er janvier 2019 des rapprochements des hôpitaux Sainte-Anne, Maison Blanche et Perray-Vaucluse.  Leader dans le soin, l'enseignement et la recherche portant sur les maladies mentales et le système nerveux, le GHU Paris emploie 5600 hospitaliers répartis dans 100 sites parisiens, ainsi que des unités à dimension médico-sociale dans le 91 et le 93."", 'logo': 'https://entreprise.pole-emploi.fr/static/img/logos/dziQ1Dx5njwy2McBXbWpX9Kc3LKL2zda.png', 'url': 'https://www.ghu-paris.fr/fr/toutes-nos-offres-demploi', 'entrepriseAdaptee': False}",D,Débutant accepté,,163BQGM,Secrétaire médical / médicale CMP (H/F),75 - PARIS 19,Contrat travail,1,False,"{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163BQGM'}",6,Employé qualifié,M1609,Secrétariat et assistanat médical ou médico-social,"Mensuel de 2100,00 Euros à 2400,00 Euros sur 12 mois",86,Activités hospitalières,CDD,Contrat à durée déterminée - 3 Mois
Entraîneur sportif / Entraîneuse sportive,93.12Z,"Évaluer le niveau de départ du pratiquant, Présenter l'exercice aux pratiquants et apporter un appui technique, Concevoir un projet éducatif","{'nom': 'Pôle Emploi NANTES MALAKOFF', 'coordonnees1': '10 RUE DE CHYPRE', 'coordonnees2': '44000 NANTES', 'coordonnees3': 'Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/163BQGL'}",2023-10-11T09:45:17.000Z,2023-10-11T09:12:26.000Z,3,Fréquents Zone régionale,"L'association des Dockers de Nantes recherche un entraineur et responsable de la communication 20h par semaine au taux horaire 10,57€ brut pour 9 mois. Poste à pourvoir immédiatement.
Les Dockers de Nantes organisent et développent le football américain et le flag football à Nantes depuis 1993. Plusieurs sections pratiquent d'une à trois fois par semaine : moins de 17 ans, moins de 20 ans, plus de 20 ans et flag football. Le club participe aux championnats nationaux dans ces catégories ainsi qu'aux sélections et détections pour accéder à des niveaux plus hauts. 
Nous recherchons un encadrant pour les sections moins de 17 ans et moins de 20 ans, assistant coach pour les plus de 20 ans, animateur pour les animations dans les écoles et responsable de la communication du club. Diplôme CA3 football américain demandé.
Le candidat devra rendre compte au bureau constitué principalement du président, du secrétaire et du trésorier et être très autonome. L'objectif est de développer les sections jeunes mises à mal par la période Covid et de développer la présence du club sur les réseaux sociaux. Il préparera chaque pratiques et déplacements des sections jeunes et encadrera les entraineurs volontaires qui suivront ses consignes (25 joueurs et 4 bénévoles environ). Il publiera à chaque évènement du club et organisera les volontaires en communication.
Les Dockers sont basés au Complexe sportif Mangin Beaulieu à Nantes.


Le plan de formation :
-	Formation en interne :
Chaque position fera l'objet d'une période de formation pendant le contrat,( Attaque : running back, linemen, receveurs, quarterback Défense : defensive back, linebackers, defensive linemen ) en interne par les coachs et joueurs expérimentés déjà présents dans l'association.
Une formation à l'appel des jeux offensifs aura lieu en interne ou bien avec un formateur de la ligue Pays de la Loire.

-	Formation externe :
Formation d'arbitre ARC
Formation d'entraineur CA",20H Travail en journée,Temps partiel,"{'nom': 'LES DOCKERS DE NANTES', 'entrepriseAdaptee': False}",D,Débutant accepté,,163BQGL,Entraineur et responsable de la communication (H/F),44 - NANTES,CUI - CAE,1,False,"{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163BQGL'}",1,Manœuvre,G1204,Éducation en activités sportives,,93,Activités de clubs de sports,CDD,Contrat à durée déterminée - 9 Mois
Agent administratif / Agente administrative,84.30A,,"{'nom': 'MSA MIDI PYRENEES NORD - Mme Carole Pourtet', 'coordonnees1': 'https://jobaffinity.fr/apply/zapmns2egp89alxv1h', 'urlPostulation': 'https://jobaffinity.fr/apply/zapmns2egp89alxv1h'}",2023-10-11T09:20:26.000Z,2023-10-11T09:12:23.000Z,2,Ponctuels Zone régionale,"MUTUALITE SOCIALE AGRICOLE MIDI-PYRENNES NORD
(Aveyron - Lot - Tarn - Tarn et Garonne) 
Technicien administratif en protection sociale f/h
1 CDD de remplacement d'une durée de 2 mois  - 35H - Année 2023

AFFECTATION : Service Santé  - poste basé à Cahors 

PRINCIPALES MISSIONS :

Au sein de notre service « SANTE » en charge de la gestion du versement d'indemnités Journalières et autres prestations composé d'une équipe de 15 personnes dynamiques, bienveillantes, et soucieuses de rendre un service rapide et de qualité à nos adhérents, vous aurez la responsabilité des missions suivantes : 

-	Instruire, traiter, valider les dossiers des adhérents au regard de la législation relative aux prestations de santé ;
-	Procéder aux diverses régularisations nécessaires ;
-	Assurer la relation écrite et ponctuellement téléphonique avec les adhérents et les tiers. 


PROFIL RECHERCHE : H/F

-	Bac + 2 apprécié (SP3S, AES, Droit, Comptabilité)
-	Connaissances dans le domaine de la santé ou de la protection sociale serait un plus
-	Capacité d'intégration et d'application des normes et procédures en vigueur
-	Capacité d'analyse
-	Organisation, rigueur et méthode 
-	Aptitude à coopérer dans un collectif de travail
-	Qualités relationnelles et adaptabilité aux différents interlocuteurs et/ou situations


Rémunération brute mensuelle de 1747.20€, prime de 13ème mois au prorata de la durée du contrat, Titres restaurants, flexibilité horaires et formation dispensée à l'embauche (déplacements possibles).

Cette offre vous intéresse ! Merci de transmettre votre curriculum vitae accompagné d'une lettre de motivation à l'attention de la Direction des Ressources Humaines de la MSA MPN avant le 16/10/2023 via le lien https://jobaffinity.fr/apply/zapmns2egp89alxv1h",35H Travail en journée,Temps plein,"{'nom': 'MSA MIDI PYRENEES NORD', 'description': ""La MSA, deuxième régime de protection sociale en France, emploie\xa016 000 collaborateurs répartis sur tout le territoire français.\nLa Caisse MSA Midi-Pyrénées Nord regroupe 4 départements : Aveyron, Lot, Tarn, Tarn et Garonne; elle emploie 580 salariés répartis sur l'ensemble de son territoire."", 'url': 'https://mpn.msa.fr/lfy/web/msa-midi-pyrenees-nord/nos-offres-d-emploi', 'entrepriseAdaptee': False}",D,Débutant accepté,"Bac+2 ou équivalents, Bac+2 ou équivalents",163BQGK,Technicien administratif en protection sociale (H/F),46 - CAHORS,Contrat travail,1,False,"{'origine': '1', 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/163BQGK'}",7,Technicien,M1602,Opérations administratives,,84,Activités générales de sécurité sociale,CDD,Contrat à durée déterminée - 2 Mois
